S.No,Business Type,Business Name,Login Email,Password,City,State,Modules,POS,Inventory,Invoicing,Appointments,Fees,Lease,Seed Status,Login Test,Dashboard Test,POS Test,Inventory Test,Invoicing Test,Appointments Test,Fees Test,Customers Test,Reports Test,Staff Test,Expenses Test,Bugs Found,Bug Description,Bug Status,SOP Written,Overall Status,Tested By,Test Date,Notes
1,RETAIL,Ramesh Electronics,owner@rameshelectronics.test,Test@1234,Delhi,Delhi,"pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,No,No,No,Done,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
2,KIRANA,Sharma Kirana Store,owner@sharmakirana.test,Test@1234,Mumbai,Maharashtra,"pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,No,No,No,Done,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
3,COACHING,Bright Future Academy,owner@brightfutureacademy.test,Test@1234,Ahmedabad,Gujarat,"fees, invoicing, customers, reports",No,No,Yes,No,Yes,No,Done,Not Tested,Not Tested,N/A,N/A,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
4,SALON,Glamour Studio,owner@glamourstudio.test,Test@1234,Bangalore,Karnataka,"appointments, pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,Yes,No,No,Done,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
5,CLINIC,HealthCare Plus Clinic,owner@healthcareplus.test,Test@1234,Hyderabad,Telangana,"appointments, invoicing, customers, reports",No,No,Yes,Yes,No,No,Done,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
6,RESTAURANT,Spice Garden Restaurant,owner@spicegarden.test,Test@1234,Chennai,Tamil Nadu,"pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,No,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
7,GYM,FitZone Gym,owner@fitzonegym.test,Test@1234,Pune,Maharashtra,"fees, appointments, invoicing, customers, reports",No,No,Yes,Yes,Yes,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
8,MALL,City Square Mall,owner@citysquaremall.test,Test@1234,Jaipur,Rajasthan,"lease, invoicing, reports",No,No,Yes,No,No,Yes,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,N/A,N/A,N/A,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
9,FREELANCER,Arjun Design Studio,owner@arjundesign.test,Test@1234,Hyderabad,Telangana,"invoicing, customers, reports",No,No,Yes,No,No,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
10,WORKSHOP,AutoFix Workshop,owner@autofixworkshop.test,Test@1234,Chandigarh,Punjab,"pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,No,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
11,OTHER,General Traders,owner@generaltraders.test,Test@1234,Lucknow,Uttar Pradesh,"pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,No,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
12,MEDICAL_STORE,MediPlus Pharmacy,owner@medipluspharmacy.test,Test@1234,Nagpur,Maharashtra,"pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,No,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
13,STATIONARY,Vidya Stationers,owner@vidyastationers.test,Test@1234,Indore,Madhya Pradesh,"pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,No,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
14,SWEET_SHOP,Mithai Mahal,owner@mithaimahal.test,Test@1234,Varanasi,Uttar Pradesh,"pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,No,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
15,BAKERY,Fresh Bake House,owner@freshbakehouse.test,Test@1234,Kolkata,West Bengal,"pos, inventory, appointments, invoicing, customers, reports",Yes,Yes,Yes,Yes,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
16,JEWELLERY,Sona Jewellers,owner@sonajewellers.test,Test@1234,Surat,Gujarat,"pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,No,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
17,HARDWARE,Sharma Hardware,owner@sharmahardware.test,Test@1234,Kanpur,Uttar Pradesh,"pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,No,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
18,ELECTRICAL,Power Point Electricals,owner@powerpointelectricals.test,Test@1234,Coimbatore,Tamil Nadu,"pos, inventory, appointments, invoicing, customers, reports",Yes,Yes,Yes,Yes,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
19,CLOTHING,Fashion Hub,owner@fashionhub.test,Test@1234,Mumbai,Maharashtra,"pos, inventory, appointments, invoicing, customers, reports",Yes,Yes,Yes,Yes,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
20,FOOTWEAR,Step In Shoes,owner@stepinshoes.test,Test@1234,Agra,Uttar Pradesh,"pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,No,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
21,ELECTRONICS,Tech World Electronics,owner@techworldelectronics.test,Test@1234,Bangalore,Karnataka,"pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,No,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
22,MOBILE_REPAIR,Fix My Phone,owner@fixmyphone.test,Test@1234,Delhi,Delhi,"pos, inventory, appointments, invoicing, customers, reports",Yes,Yes,Yes,Yes,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
23,OPTICAL,Clear Vision Opticals,owner@clearvisionopticals.test,Test@1234,Hyderabad,Telangana,"pos, inventory, appointments, invoicing, customers, reports",Yes,Yes,Yes,Yes,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
24,BOOKSTORE,Chapter One Books,owner@chaptersonebooks.test,Test@1234,Pune,Maharashtra,"pos, inventory, fees, invoicing, customers, reports",Yes,Yes,Yes,No,Yes,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
25,FLORIST,Pushp Florist,owner@pushpflorist.test,Test@1234,Jaipur,Rajasthan,"pos, inventory, appointments, invoicing, customers, reports",Yes,Yes,Yes,Yes,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
26,DHABA,Punjabi Dhaba,owner@punjabdhaba.test,Test@1234,Amritsar,Punjab,"pos, inventory, reports",Yes,Yes,No,No,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,N/A,N/A,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
27,CATERING,Grand Caterers,owner@grandcaterers.test,Test@1234,Delhi,Delhi,"appointments, inventory, invoicing, customers, reports",No,Yes,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
28,CLOUD_KITCHEN,HomeChef Cloud Kitchen,owner@homechefkitchen.test,Test@1234,Bangalore,Karnataka,"pos, inventory, reports",Yes,Yes,No,No,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,N/A,N/A,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
29,JUICE_BAR,Fresh Squeeze Juice Bar,owner@freshsqueezejuice.test,Test@1234,Chennai,Tamil Nadu,"pos, inventory, reports",Yes,Yes,No,No,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,N/A,N/A,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
30,CANTEEN_MESS,Tiffin King Canteen,owner@tiffinkingocanteen.test,Test@1234,Mumbai,Maharashtra,"pos, fees, inventory, customers, reports",Yes,Yes,No,No,Yes,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
31,EVENT_PLANNER,Dream Events,owner@dreamevents.test,Test@1234,Mumbai,Maharashtra,"appointments, invoicing, customers, reports",No,No,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
32,DECORATOR,Shubh Decorators,owner@shubhdecorators.test,Test@1234,Delhi,Delhi,"appointments, inventory, invoicing, customers, reports",No,Yes,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
33,TENT_HOUSE,Royal Tent House,owner@royaltenthouse.test,Test@1234,Jaipur,Rajasthan,"appointments, inventory, invoicing, customers, reports",No,Yes,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
34,DENTAL,Smile Dental Clinic,owner@smiledental.test,Test@1234,Pune,Maharashtra,"appointments, inventory, invoicing, customers, reports",No,Yes,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
35,DIAGNOSTIC_LAB,LifeCare Diagnostics,owner@lifecarediagnostics.test,Test@1234,Hyderabad,Telangana,"appointments, invoicing, customers, reports",No,No,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
36,PHYSIOTHERAPY,Heal Physio Centre,owner@healphysiocentre.test,Test@1234,Bangalore,Karnataka,"appointments, fees, invoicing, customers, reports",No,No,Yes,Yes,Yes,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
37,AYURVEDA,Arogya Ayurveda Centre,owner@arogyaayurveda.test,Test@1234,Kerala,Kerala,"appointments, inventory, invoicing, customers, reports",No,Yes,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
38,HOSPITAL,City Multi-Speciality Hospital,owner@cityhospital.test,Test@1234,Chennai,Tamil Nadu,"appointments, inventory, invoicing, customers, reports",No,Yes,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
39,VET_CLINIC,Pet Care Vet Clinic,owner@petcareclinic.test,Test@1234,Bangalore,Karnataka,"pos, inventory, appointments, invoicing, customers, reports",Yes,Yes,Yes,Yes,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
